region,question,response,frequency
ALL,88,n=,900
OREGON,88,n=,0
WASHINGTON,88,n=,0
IDAHO,88,n=,0
Adams,88,n=,51
Asotin,88,n=,10
Baker/Gilliam/Wallowa,88,n=,29
Benewah/Clearwater/Kootenai,88,n=,18
Benton/Chelan/Yakima,88,n=,33
Columbia,88,n=,14
Douglas,88,n=,24
Franklin,88,n=,43
Garfield,88,n=,23
Grant,88,n=,60
Idaho,88,n=,36
Jefferson/Wheeler,88,n=,14
Klickitat,88,n=,18
Latah,88,n=,49
Lewis,88,n=,26
Lincoln,88,n=,95
Morrow,88,n=,29
Nez Perce,88,n=,16
Sherman,88,n=,27
Spokane,88,n=,41
Umatilla,88,n=,50
Walla Walla,88,n=,55
Wasco,88,n=,16
Whitman,88,n=,121
Adams,89,% of survey sample,5.59
Asotin,89,% of survey sample,1.14
Baker/Gilliam/Wallowa,89,% of survey sample,3.09
Benewah/Clearwater/Kootenai,89,% of survey sample,1.97
Benton/Chelan/Yakima,89,% of survey sample,3.54
Columbia,89,% of survey sample,1.6
Douglas,89,% of survey sample,2.87
Franklin,89,% of survey sample,4.98
Garfield,89,% of survey sample,2.46
Grant,89,% of survey sample,6.65
Idaho,89,% of survey sample,3.96
Jefferson/Wheeler,89,% of survey sample,1.51
Klickitat,89,% of survey sample,1.92
Latah,89,% of survey sample,6
Lewis,89,% of survey sample,2.78
Lincoln,89,% of survey sample,10.24
Morrow,89,% of survey sample,3.09
Nez Perce,89,% of survey sample,2.29
Sherman,89,% of survey sample,2.89
Spokane,89,% of survey sample,4.68
Umatilla,89,% of survey sample,5.8
Walla Walla,89,% of survey sample,5.89
Wasco,89,% of survey sample,1.7
Whitman,89,% of survey sample,13.34
ALL,89,% of survey sample,100
OREGON,89,% of survey sample,0
WASHINGTON,89,% of survey sample,0
IDAHO,89,% of survey sample,0
ALL,18a,Strongly Agree,36.2803
ALL,18a,Somewhat Agree,44.8828
ALL,18a,Neither,12.5498
ALL,18a,Somewhat Disagree,6.2871
OREGON,18a,Strongly Agree,37.5423
OREGON,18a,Somewhat Agree,45.0151
OREGON,18a,Neither,10.7863
OREGON,18a,Somewhat Disagree,6.6563
WASHINGTON,18a,Strongly Agree,33.4911
WASHINGTON,18a,Somewhat Agree,46.4524
